"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 02:54:57 MSK 2025","Wed Feb 19 02:55:01 MSK 2025","4524","","RegisterTest","","RegisterTest","cannotRegisterWithPasswordLessThanSixCharsTest","cannotRegisterWithPasswordLessThanSixCharsTest","Ошибка регистрации для пароля менее 6 символов"
"passed","Wed Feb 19 02:53:50 MSK 2025","Wed Feb 19 02:53:55 MSK 2025","5666","","ConstructorTest","","ConstructorTest","goToBunTabTest","goToBunTabTest","Переход к разделу ""Булки"""
"passed","Wed Feb 19 02:54:25 MSK 2025","Wed Feb 19 02:54:33 MSK 2025","7553","","LoginTest","","LoginTest","loginByForgotPasswordButtonTest","loginByForgotPasswordButtonTest","Вход по кнопке ""Войти"" со страницы восстановления пароля"
"passed","Wed Feb 19 02:54:39 MSK 2025","Wed Feb 19 02:54:46 MSK 2025","7099","","PersonAccountTest","","PersonAccountTest","logoutTest","logoutTest","Выход из аккаунта по кнопке ""Выйти"" в личном кабинете"
"passed","Wed Feb 19 02:54:19 MSK 2025","Wed Feb 19 02:54:25 MSK 2025","6376","","LoginTest","","LoginTest","loginByLoginButtonOnRegisterPageTest","loginByLoginButtonOnRegisterPageTest","Вход по кнопке ""Войти"" со страницы регистрации"
"passed","Wed Feb 19 02:54:09 MSK 2025","Wed Feb 19 02:54:13 MSK 2025","3588","","ConstructorTest","","ConstructorTest","goToFillingTabTest","goToFillingTabTest","Переход к разделу ""Начинки"""
"passed","Wed Feb 19 02:54:46 MSK 2025","Wed Feb 19 02:54:52 MSK 2025","6468","","PersonAccountTest","","PersonAccountTest","goToPersonAccTest","goToPersonAccTest","Переход в личный кабинет по кнопке ""Личный кабинет"""
"passed","Wed Feb 19 02:54:52 MSK 2025","Wed Feb 19 02:54:57 MSK 2025","4804","","RegisterTest","","RegisterTest","registerTest","registerTest","Успешная регистрация"
"passed","Wed Feb 19 02:54:33 MSK 2025","Wed Feb 19 02:54:39 MSK 2025","5794","","LoginTest","","LoginTest","loginByPersonAccButtonTest","loginByPersonAccButtonTest","Вход по кнопке ""Личный Кабинет"""
"passed","Wed Feb 19 02:54:13 MSK 2025","Wed Feb 19 02:54:19 MSK 2025","6204","","LoginTest","","LoginTest","loginByLoginButtonTest","loginByLoginButtonTest","Вход по кнопке ""Войти в аккаунт"" на главной странице"
"passed","Wed Feb 19 02:53:59 MSK 2025","Wed Feb 19 02:54:09 MSK 2025","10487","","ConstructorTest","","ConstructorTest","goToConstructorFromProfileAccTest","goToConstructorFromProfileAccTest","Переход из Личного кабинета в ""Конструктор"""
"passed","Wed Feb 19 02:53:56 MSK 2025","Wed Feb 19 02:53:59 MSK 2025","2993","","ConstructorTest","","ConstructorTest","goToSauceTabTest","goToSauceTabTest","Переход к разделу ""Соусы"""
